title,author,litres mark,litres votes,livelib mark,livelib votes,avg_word_len,avg_sent_len,avg_words_per_par,comma_freq,colon_freq,dash_freq,A1 voc,A2 voc,B1 voc,B2 voc,C1 voc,C2 voc,unknown voc,TTR,TTR-root,TTR-log,TTR-corrected,TTR-hdd,TTR-mtld,FKD-oborneva,FRE-oborneva,FKD-soloviev,FRE-soloviev
Человек для особых поручений,Антон Демченко,4.6,137,4.5,7,5.2780170232861465,11.145640769422933,46.34041450777202,115.79306483781798,0.6560761398229469,27.42398264459918,0.6,0.12,0.09,0.07,0.03,0.03,0.07,0.2360544293748672,70.59448358733279,0.8733746006115376,49.91783805896544,0.9271417459668,352.8455569351147,8.640586131400195,58.84871263829842,4.83628892874882,92.65235567453058
Закон военного счастья,Николай Басов,4.3,14,4.3,16,5.226791086635052,11.95113847654464,27.5341793451588,111.7162595657814,2.164053779552105,37.28568124453204,0.62,0.12,0.1,0.05,0.03,0.03,0.05,0.1230087594214707,77.08636163506753,0.8373166865136873,54.50828904915476,0.9300909101294424,297.18891981076024,8.832775717125621,59.3408983320511,4.98213174101979,91.5368272202236
Потерянный бог,Милослав Князев,4.3,225,3.8,80,5.243787269981829,9.58297664180017,33.155986509274875,84.48900997603295,0.9935063604891738,23.19888563410288,0.65,0.15,0.09,0.06,0.01,0.02,0.02,0.1887445006739058,52.93130801334365,0.8520887414192665,37.428086833309145,0.9255118134996196,339.3274537751549,7.82083799075863,61.18632736547153,4.247622950019911,96.8908931664642
Звездный разведчик, Владимир Лосев,4.0,8,4.6,5,5.093497395365547,10.929166258450085,23.00761160255092,94.76157450000709,1.45079333625851,30.933744745297307,0.64,0.12,0.1,0.07,0.03,0.01,0.04,0.1499642346208869,50.151771085989736,0.8367839067336165,35.46265742341877,0.9261372366883756,262.4255935419486,7.696634508250693,65.12956215265407,4.185448090575692,97.11283675166004
Путешествие из Петербурга в Москву (сборник), Александр Николаевич Радищев,4.2,9,3.7,59,5.376012907852277,17.123848987108655,17.553258145363408,111.55304118086268,3.783527654930791,0.904600539888576,0.53,0.12,0.1,0.07,0.03,0.04,0.11,0.2531590219525254,84.74590428906399,0.8818472273611124,59.92440360058327,0.9390104983246336,333.2441108248008,12.12111859991074,47.614338293810505,7.32582491719006,74.80943510984126
Позывной «Технарь», Константин Николаевич Муравьёв,4.3,223,5.0,3,5.142736617532972,10.441069626639758,22.375296912114013,85.02200249904928,1.9092115577148443,0.0,0.67,0.12,0.1,0.04,0.01,0.01,0.04,0.1548928778228141,49.86011120180306,0.8385051018904794,35.256422741510285,0.9183143781061758,225.0077063207925,8.102658732727239,61.0842413192288,4.455281050736742,95.35158049601404
Личный враг человечества. Книга 2. Операция «Сны цивилизации», Алексей Имп,4.0,70,4.5,6,5.601074722042797,11.2897384305835,28.341586073500967,86.85993193035446,3.14083412674962,0.0109436729155039,0.57,0.11,0.12,0.09,0.03,0.02,0.07,0.3098289723325553,83.86183782255593,0.8953977319013272,59.29927420709579,0.943564573720296,608.126653287633,9.942469516609208,49.900398128552126,5.731766651934057,86.53400251401429
Запрещенная реальность. Том 1, Василий Головачёв,4.3,125,3.3,8,5.51414299372863,11.478194160312444,23.927251620392763,95.22143356992902,5.201564530640808,38.02296810956713,0.59,0.13,0.11,0.06,0.02,0.02,0.08,0.172279813694731,85.67972421376125,0.858385886119369,60.58471400174381,0.937339847665884,483.9618813634161,9.573354681773631,52.9621037645752,5.481826710916474,88.20726814305215
Сердце Дракона. Том 12 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,5.15833010210676,10.37759494881852,18.54746889381285,96.14419081853175,0.5675657976118578,1.0478137802065066,0.58,0.12,0.12,0.07,0.03,0.02,0.06,0.1817622084581595,59.958941961094816,0.8529798676894558,42.39737445346077,0.933403169689862,299.1252114669903,7.733970748818265,63.62029832144725,4.201700005884431,97.08404662359617
Вечный зов. Том II, Анатолий Иванов,4.7,101,4.7,200,5.121333977546385,11.202727466439375,27.010564102564103,112.73514803948508,3.793687233533359,36.31480513034152,0.62,0.12,0.09,0.07,0.02,0.02,0.07,0.1488876147224447,76.40604277978974,0.8474060348790804,54.02723097321877,0.93229002765311,275.0717979486908,8.17526788668432,62.337961258154905,4.518418007422062,94.80510498242936
