lemma,level
и,1E
в,1E
не,1E
он,1E
на,1E
я,1E
тот,1E
быть,1E
с,1E
а,1E
весь,1E
это,1E
как,1E
она,1E
по,1E
но,1E
они,1E
к,1E
у,1E
ты,1E
из,1E
мы,1E
за,1E
вы,1E
так,1E
от,1E
сказать,1E
этот,1E
который,1E
мочь,1E
люди,1E
человек,1E
о,1E
один,1E
еще,1E
еще не,1E
бы,1E
такой,1E
только,1E
себя,1E
свое,1E
какой,1E
когда,1E
уже,1E
для,1E
вот,1E
кто,1E
да,1E
говорить,1E
год,1E
мой,1E
до,1E
или,1E
если,1E
время,1E
рука,1E
нет,1E
самый,1E
ни,1E
большой,1E
даже,1E
другой,1E
наш,1E
свой,1E
ну,1E
под,1E
где,1E
дело,1E
есть,1E
есть,1E
раз,1E
чтобы,1E
два,1E
там,1E
чем,1E
глаз,1E
жизнь,1E
первый,1E
день,1E
тут,1E
во,1E
ничего,1E
потом,1E
очень,1E
со,1E
хотеть,1E
ли,1E
голова,1E
надо,1E
надо,1E
без,1E
видеть,1E
идти,1E
теперь,1E
тоже,1E
стоять,1E
друг,1E
дом,1E
сейчас,1E
можно,1E
после,1E
слово,1E
здесь,1E
думать,1E
место,1E
спросить,1E
через,1E
лицо,1E
что,1E
тогда,1E
хороший,1E
каждый,1E
новый,1E
жить,1E
должен,1E
смотреть,1E
почему,1E
потому что,1E
сторона,1E
просто,1E
нога,1E
сидеть,1E
понять,1E
делать,1E
вдруг,1E
над,1E
взять,1E
никто,1E
сделать,1E
дверь,1E
перед,1E
нужный,1E
понимать,1E
казаться,1E
работа,1E
три,1E
ваш,1E
земля,1E
конец,1E
час,1E
голос,1E
город,1E
последний,1E
пока,1E
хорошо,1E
давать,1E
вода,1E
более,1E
всегда,1E
второй,1E
куда,1E
пойти,1E
стол,1E
ребенок,1E
увидеть,1E
сила,1E
отец,1E
женщина,1E
машина,1E
случай,1E
ночь,1E
сразу,1E
мир,1E
совсем,1E
остаться,1E
об,1E
вид,1E
выйти,1E
дать,1E
работать,1E
любить,1E
старый,1E
почти,1E
ряд,1E
начало,1E
твой,1E
вопрос,1E
много,1E
война,1E
ответить,1E
между,1E
подумать,1E
опять,1E
белый,1E
деньги,1E
значить,1E
минута,1E
жена,1E
посмотреть,1E
правда,1E
главный,1E
страна,1E
свет,1E
ждать,1E
мать,1E
никогда,1E
дорога,1E
однако,1E
лежать,1E
окно,1E
никакой,1E
найти,1E
писать,1E
комната,1E
Москва,1E
часть,1E
вообще,1E
книга,1E
маленький,1E
улица,1E
решить,1E
душа,1E
чуть,1E
вернуться,1E
утро,1E
некоторый,1E
считать,1E
сколько,1E
помнить,1E
вечер,1E
пол,1E
получить,1E
народ,1E
сегодня,1E
бог,1E
вместе,1E
взгляд,1E
ходить,1E
советский,1E
русский,1E
полный,1E
прийти,1E
Россия,1E
история,1E
наконец,1E
узнать,1E
назад,1E
общий,1E
заметить,1E
прошлый,1E
уйти,1E
известный,1E
давно,1E
слышать,1E
слушать,1E
бояться,1E
сын,1E
нельзя,1E
прямо,1E
долго,1E
быстро,1E
лес,1E
похожий,1E
пять,1E
оно,1E
сесть,1E
имя,1E
разговор,1E
тело,1E
молодой,1E
стена,1E
красный,1E
читать,1E
право,1E
старик,1E
хотеться,1E
мама,1E
оставаться,1E
высокий,1E
путь,1E
поэтому,1E
тысяча,1E
месяц,1E
брать,1E
написать,1E
целый,1E
начинать,1E
спина,1E
настоящий,1E
пусть,1E
язык,1E
точно,1E
чувствовать,1E
сердце,1E
вести,1E
иногда,1E
мальчик,1E
небо,1E
смерть,1E
девушка,1E
образ,1E
ко,1E
забыть,1E
письмо,1E
черный,1E
разный,1E
выходить,1E
просить,1E
брат,1E
показать,1E
вспомнить,1E
система,1E
четыре,1E
квартира,1E
держать,1E
также,1E
любовь,1E
откуда,1E
третий,1E
хозяин,1E
уходить,1E
спрашивать,1E
бросить,1E
школа,1E
парень,1E
двадцать,1E
солнце,1E
неделя,1E
послать,1E
находиться,1E
ребята,1E
поставить,1E
встать,1E
например,1E
мужчина,1E
нос,1E
мало,1E
внимание,1E
ухо,1E
туда,1E
сюда,1E
играть,1E
рассказать,1E
великий,1E
действительно,1E
слишком,1E
тяжелый,1E
спать,1E
оставить,1E
войти,1E
длинный,1E
чувство,1E
рассказывать,1E
отвечать,1E
становиться,1E
берег,1E
семья,1E
искать,1E
момент,1E
десять,1E
начать,1E
следующий,1E
верить,1E
группа,1E
муж,1E
разве,1E
порядок,1E
ответ,1E
тихо,1E
знакомый,1E
газета,1E
помощь,1E
сильный,1E
скорый,1E
собака,1E
дерево,1E
снег,1E
сон,1E
смысл,1E
бежать,1E
двор,1E
простой,1E
приехать,1E
кричать,1E
возможность,1E
зеленый,1E
угол,1E
открыть,1E
происходить,1E
ехать,1E
немец,1E
наверное,1E
дядя,1E
приходить,1E
часто,1E
домой,1E
писатель,1E
армия,1E
очередь,1E
гость,1E
собираться,1E
принять,1E
сначала,1E
поехать,1E
услышать,1E
уметь,1E
случиться,1E
странный,1E
единственный,1E
короткий,1E
море,1E
добрый,1E
темный,1E
гора,1E
врач,1E
стараться,1E
лучший,1E
река,1E
страшный,1E
звать,1E
произойти,1E
медленно,1E
никак,1E
заниматься,1E
довольно,1E
вещь,1E
положить,1E
девочка,1E
легкий,1E
волос,1E
купить,1E
номер,1E
широкий,1E
умереть,1E
далеко,1E
плохо,1E
глава,1E
красивый,1E
серый,1E
пить,1E
