index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
0,Человек для особых поручений,Антон Демченко,4.6,137,4.5,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Человек для особых поручений - Антон В. Демченко.txt
1,Закон военного счастья,Николай Басов,4.3,14,4.3,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Закон военного счастья - Николай Басов.txt
2,Потерянный бог,Милослав Князев,4.3,225,3.8,80,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Потерянный бог (СИ) - Милослав Князев.txt
3,Звездный разведчик, Владимир Лосев,4.0,8,4.6,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Звездный разведчик - Владимир Лосев.txt
4,Путешествие из Петербурга в Москву (сборник), Александр Николаевич Радищев,4.2,9,3.7,59,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Путешествие из Петербурга в Москву (сборник) - Александр Николаевич Радищев.txt
5,Позывной «Технарь», Константин Николаевич Муравьёв,4.3,223,5.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Позывной «Технарь» - Константин Николаевич Муравьёв.txt
6,Личный враг человечества. Книга 2. Операция «Сны цивилизации», Алексей Имп,4.0,70,4.5,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Личный враг человечества. Книга 2. Операция «Сны цивилизации» - Алексей Имп.txt
7,Запрещенная реальность. Том 1, Василий Головачёв,4.3,125,3.3,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Запрещенная реальность. Том 1 - Василий Головачёв.txt
8,Сердце Дракона. Том 12 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сердце Дракона. Том 12 (СИ) - Кирилл Сергеевич Клеванский.txt
9,Вечный зов. Том II, Анатолий Иванов,4.7,101,4.7,200,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вечный зов. Том II - Анатолий Иванов.txt
10,Везунчики, Рустам Максимов,3.7,18,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Везунчики - Рустам Максимов.txt
11,Живучий. Закрытые миры, Константин Николаевич Муравьев,4.2,466,3.8,37,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Живучий. Закрытые миры - Константин Николаевич Муравьев.txt
12,Юзер, Анджей Ясинский,4.4,308,4.4,375,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Юзер - Анджей Ясинский.txt
13,Из евреев в попаданцы. Книга вторая., Дмитрий Гаук,4.9,722,5.0,13,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Из евреев в попаданцы. Книга вторая. - Дмитрий Гаук.txt
14,Страна негодяев, Сергей Александрович Есенин,4.6,27,4.3,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Страна негодяев - Сергей Александрович Есенин.txt
15,Галактика онлайн. Том 2, Павел Коршунов,4.4,173,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Галактика онлайн. Том 2 - Павел Коршунов.txt
16,Управленец, Владимир Поселягин,4.3,22,3.8,35,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Управленец - Владимир Поселягин.txt
17,Кальмар. Полная книга, Валерий Шалдин,4.4,18,4.1,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кальмар. Полная книга - Валерий Шалдин.txt
18,Леший. Путь проклятых, Али Алиев,4.2,242,5.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Леший. Путь проклятых - Али Алиев.txt
19,Азарт, Терентий Гравин,4.9,7,3.3,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Азарт - Терентий Гравин.txt
20,Попадос 4, Sunmen,4.4,36,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Попадос 4 - Sunmen.txt
21,Императоры Иллюзий, Сергей Васильевич Лукьяненко,4.7,591,4.4,1446,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Императоры Иллюзий - Сергей Васильевич Лукьяненко.txt
22,Новые маги. Друид, Максим Дрешпак,4.3,12,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Новые маги. Друид - Максим Дрешпак.txt
23,Нрзи. Колония нестрогого режима., Арт Богданов,4.3,34,4.0,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Нрзи. Колония нестрогого режима. - Арт Богданов.txt
24,Игра в Игре. Том 2. Великая гробница, Омельянов Ярослав,4.0,1,4.5,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра в Игре. Том 2. Великая гробница - Омельянов Ярослав.txt
25,Лабиринт на орбите, Сергей Залевский,2.0,6,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Лабиринт на орбите - Сергей Залевский.txt
